Français;Espagnol
Parlez-vous anglais ?;Habla ingles ?
Merci;gracias
S’il vous plait;Por favor
Desole;Lo siento
Bonjour;hola
Fermé;cerrado
Ouvert;abierto
Oui;si
non;no
l’addition s'il vous plait;La cuenta, por favor
Combien cela coute ?;Cuento cuesta ?
combien;cuantos
j’ai besoin d’eau;Necessita agua
Les toilettes;El escusado
Le restaurant;El restaurante
Au secours;ayuda
Le menu s’il vous plait;El menu por favor
Au revoir;adios
Pas de soucis !;No hay problema
Celui la;ese
Un de plus;Uno mas
Un de moins;Uno menos
Veuillez patienter;Espere por favor
messieurs;caballeros
dames;damas
Ou se trouve le supermarché ?;Donde es el supermercado
La carte de credit;La tarjeta de credito
L’entrée;La entrada
La sortie;La salida
Le distributeur de billets;El cujero automatico
l’hopital;El hospital
La police;La policia
Je suis allergique aux arachides;Soy allergica a los cacahuates
Je suis heureux;Estoy feliz
Comprenez-vous ?;Entiendes ?
Trop cher !;Muy caro
Desirez vous autre chose ?;Algo mas ?
Non ce sera tout;No, eso es todo
un;un
deux;dos
trois;tres
Quatre;cuatro
cinq;cinco
six;seis
sept;siete
huit;ocho
neuf;nueve
dix;diez
En espece seulement;Solamento efectivo
Entrée interdite;No entrar
Je suis perdu;Estoy perdida
Je suis malade;Estoy enferma
gauche;izquierda
droite;Derecha
Tout droit;Siga adelante
Arrêtez vous ici;Dentengase acqui
D’ou venez vous;De donde es usted ?
Je viens de;Yo soy de
Comment vous appelez vous ?;Como te llamas ?
Je m’apelle;Me llamo
vingt;veinte
Tente;treinta
quatante;cuarenta
cent;cien
Mille;mil
aurevoir;adios
Le pain;El pan
Le petit dejeuner;El dezayuno
Les fruits;Las frutas
Le fromage;El queso
l’oeuf;El huevo
Le poisson;el pescado
La fouchette;El tenedor
La soupe;La sopa
Le champugnon;El champinion
Le couteau;El cuchillo
Excusez moi;perdone
De rien;De nada
enchanté;Mucho gusto
Bonne nuit;Buenas noches
Comment allez vous ?;Como esta ?
Bien merci;Bien gracias
Et vous ?;Y usted ?
Quel temps fait-il;Que tal el clima ?
Il fais beau;Esta agradable
Il fait mauvais;Hace mal clima
Il fait chaud;Hace calor
Il fait froids;Hace frio
Moi aussi;Yo tambien
Il n'y en a pas;Ya no quedan
Quelque chose de moins chere;Uno mas barato
La moitié;mitad
Tout;todo
Puis-je payer par carte bancaire ?;Se puede pagar con tarjeta de crédito ?
Avez-vous des cartes postales ?;Tiene postales ?
celui-ci;este
Je ne veux pas;No quiero
Écrivez-le;escribalo
Les escaliers;Las escaleras
Ne vous approchez pas;No pasar
Ne touchez pas;No tocar
Faites attention;Cuidado
J'ai perdu mon portefeuille;Perdi mi cartera
Puis-je utiliser votre téléphone portable ?;Podria usar su celular ?
L’issue de secours;Salida de emergencia
Le medecin;El medico
Le telephone;telefono
La banque;El banco
l’hotel;El hotel
l’aeroport;El aeropuerto
La gare;La estacion de tren
La station de métro;Estacion de metro
La gare routière;La estacion de autobuses
Le bureau de poste;La oficina postal
Le marché;mercado
aspirine;aspirina
Le chargeur;El cargador
l’adaptateur;El adaptador
La carte SIM;Tarjeta SIM
le ticket de métro;Pase de metro
Le ticket de bus;Boleto de autobus
Le ticket de train;El boleto del tren
La carte;El mapa
Le parapluie;El paraguas
l’essence;gasolina
Souvenir;recuerdo
Billet d’entrée;Boleto de entrada
Les lunettes de soleils;Los lentes de sol
Articles de toilettes;Articulas de tocador
La creme solaire;El protector solar
La carte memoire;Tarjeta de memoria
De l’eau en bouteille;Agua embotellada